#Z=0.001000 Y=0.232000 OS=0.20 l/Hp=1.743201 [Fe/H]=-1.505247 [Alpha/Fe]= 0.30   
#age(Gyr)= 9.000 140 points
#  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
 0.9181099  3.7184  1.3123  2.9141  1.704 -0.005  0.682  0.417  0.840  1.420  1.869  1.964  2.051  2.587  5.8190E-01  3.0993E-01  1.7550E-01
 0.9183913  3.7171  1.3495  2.8719  1.614  0.002  0.687  0.420  0.845  1.428  1.881  1.976  2.063  2.601  5.4900E-01  2.9220E-01  1.6537E-01
 0.9186589  3.7160  1.3872  2.8299  1.523  0.008  0.691  0.423  0.850  1.435  1.890  1.986  2.072  2.613  5.1420E-01  2.7349E-01  1.5471E-01
 0.9189055  3.7148  1.4247  2.7877  1.432  0.015  0.695  0.426  0.855  1.443  1.901  1.997  2.083  2.626  4.7100E-01  2.5036E-01  1.4156E-01
 0.9191299  3.7133  1.4615  2.7450  1.345  0.022  0.700  0.430  0.862  1.452  1.914  2.012  2.096  2.643  4.3760E-01  2.3247E-01  1.3139E-01
 0.9193431  3.7119  1.4984  2.7026  1.257  0.030  0.705  0.433  0.869  1.461  1.927  2.025  2.108  2.658  4.1180E-01  2.1864E-01  1.2353E-01
 0.9195417  3.7105  1.5351  2.6604  1.170  0.037  0.710  0.437  0.876  1.470  1.939  2.038  2.120  2.673  3.8200E-01  2.0272E-01  1.1449E-01
 0.9197251  3.7089  1.5715  2.6177  1.084  0.046  0.716  0.442  0.885  1.480  1.954  2.053  2.134  2.691  3.5450E-01  1.8804E-01  1.0617E-01
 0.9198962  3.7075  1.6084  2.5753  0.996  0.054  0.721  0.446  0.892  1.489  1.966  2.066  2.146  2.706  3.2880E-01  1.7433E-01  9.8396E-02
 0.9200539  3.7061  1.6450  2.5331  0.909  0.062  0.726  0.450  0.899  1.498  1.978  2.079  2.158  2.721  3.9660E-01  2.1018E-01  1.1859E-01
 0.9202928  3.7035  1.7055  2.4623  0.766  0.076  0.736  0.457  0.912  1.514  2.000  2.102  2.179  2.748  4.5260E-01  2.3973E-01  1.3521E-01
 0.9205065  3.7008  1.7657  2.3915  0.624  0.093  0.747  0.464  0.925  1.530  2.022  2.126  2.202  2.775  4.0060E-01  2.1207E-01  1.1957E-01
 0.9206934  3.6981  1.8258  2.3206  0.480  0.112  0.759  0.470  0.935  1.545  2.044  2.148  2.224  2.801  3.6820E-01  1.9482E-01  1.0980E-01
