#Z=0.001000 Y=0.232000 OS=0.20 l/Hp=1.743201 [Fe/H]=-1.505247 [Alpha/Fe]= 0.30   
#age(Gyr)=10.000 140 points
#  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
 0.8917015  3.7072  1.5781  2.5908  1.073  0.054  0.722  0.447  0.893  1.491  1.968  2.069  2.148  2.709  2.8790E-01  1.6423E-01  9.7580E-02
 0.8918414  3.7058  1.6143  2.5491  0.987  0.062  0.727  0.451  0.901  1.500  1.981  2.082  2.160  2.724  2.6460E-01  1.5088E-01  8.9627E-02
 0.8919661  3.7043  1.6502  2.5073  0.902  0.071  0.732  0.455  0.908  1.509  1.993  2.095  2.173  2.739  2.4210E-01  1.3801E-01  8.1959E-02
 0.8920835  3.7027  1.6858  2.4653  0.818  0.080  0.739  0.459  0.916  1.519  2.007  2.109  2.186  2.756  2.9790E-01  1.6975E-01  1.0079E-01
 0.8922640  3.7002  1.7453  2.3959  0.676  0.096  0.749  0.465  0.927  1.533  2.027  2.131  2.207  2.781  3.4050E-01  1.9395E-01  1.1512E-01
 0.8924240  3.6975  1.8044  2.3261  0.535  0.115  0.762  0.472  0.938  1.549  2.048  2.153  2.229  2.807  3.0450E-01  1.7337E-01  1.0287E-01
 0.8925685  3.6948  1.8633  2.2565  0.394  0.136  0.776  0.477  0.947  1.563  2.068  2.173  2.250  2.831  2.9810E-01  1.6966E-01  1.0064E-01
 0.8927221  3.6922  1.9223  2.1871  0.252  0.159  0.790  0.483  0.956  1.576  2.086  2.192  2.270  2.854  2.8970E-01  1.6481E-01  9.7743E-02
 0.8928582  3.6892  1.9801  2.1174  0.113  0.187  0.808  0.489  0.965  1.591  2.106  2.214  2.293  2.879  3.8450E-01  2.1865E-01  1.2963E-01
 0.8931066  3.6874  2.0232  2.0672  0.009  0.206  0.820  0.492  0.971  1.600  2.118  2.227  2.307  2.895  3.7190E-01  2.1138E-01  1.2528E-01
 0.8932301  3.6843  2.0803  1.9978 -0.127  0.238  0.840  0.498  0.981  1.616  2.139  2.250  2.332  2.921  2.1380E-01  1.2147E-01  7.1972E-02
 0.8933204  3.6812  2.1371  1.9286 -0.262  0.272  0.860  0.505  0.991  1.633  2.161  2.273  2.358  2.949  1.6610E-01  9.4346E-02  5.5891E-02
 0.8933962  3.6779  2.1928  1.8598 -0.392  0.308  0.882  0.512  1.003  1.652  2.187  2.301  2.388  2.981  1.4330E-01  8.1379E-02  4.8202E-02
 0.8934637  3.6746  2.2486  1.7908 -0.520  0.344  0.904  0.520  1.017  1.675  2.216  2.331  2.420  3.016  1.2850E-01  7.2961E-02  4.3211E-02
 0.8935247  3.6712  2.3039  1.7219 -0.645  0.384  0.926  0.528  1.031  1.699  2.249  2.365  2.455  3.054  1.1620E-01  6.5967E-02  3.9064E-02
 0.8935799  3.6678  2.3589  1.6534 -0.767  0.427  0.950  0.537  1.047  1.726  2.283  2.401  2.493  3.095  1.0500E-01  5.9600E-02  3.5290E-02
 0.8936297  3.6643  2.4135  1.5848 -0.887  0.473  0.975  0.546  1.063  1.756  2.322  2.440  2.535  3.138  9.5000E-02  5.3917E-02  3.1922E-02
 0.8936749  3.6608  2.4680  1.5163 -1.004  0.520  1.001  0.556  1.081  1.787  2.362  2.481  2.578  3.184  8.6400E-02  4.9030E-02  2.9026E-02
 0.8937161  3.6573  2.5225  1.4478 -1.120  0.567  1.027  0.567  1.101  1.820  2.404  2.524  2.623  3.233  7.8800E-02  4.4712E-02  2.6468E-02
 0.8937537  3.6537  2.5763  1.3796 -1.232  0.615  1.055  0.580  1.123  1.855  2.448  2.570  2.671  3.284  7.0900E-02  4.0226E-02  2.3811E-02
 0.8937870  3.6500  2.6298  1.3114 -1.341  0.664  1.084  0.595  1.149  1.891  2.494  2.619  2.722  3.340  6.3200E-02  3.5854E-02  2.1221E-02
 0.8938169  3.6463  2.6828  1.2436 -1.446  0.714  1.114  0.613  1.179  1.930  2.542  2.670  2.776  3.399  5.7600E-02  3.2674E-02  1.9338E-02
 0.8938446  3.6425  2.7354  1.1758 -1.546  0.766  1.145  0.634  1.213  1.971  2.592  2.726  2.833  3.463  5.2100E-02  2.9552E-02  1.7490E-02
 0.8938690  3.6387  2.7879  1.1081 -1.643  0.820  1.177  0.655  1.250  2.014  2.645  2.784  2.893  3.530  4.7900E-02  2.7168E-02  1.6078E-02
 0.8938925  3.6349  2.8403  1.0405 -1.738  0.874  1.209  0.678  1.289  2.059  2.700  2.844  2.955  3.600  4.4000E-02  2.4955E-02  1.4767E-02
 0.8939130  3.6310  2.8921  0.9731 -1.829  0.929  1.242  0.699  1.328  2.107  2.759  2.907  3.021  3.673  3.9600E-02  2.2458E-02  1.3289E-02
 0.8939321  3.6271  2.9436  0.9060 -1.918  0.984  1.275  0.719  1.364  2.158  2.821  2.973  3.089  3.748  3.7900E-02  2.1493E-02  1.2718E-02
 0.8939509  3.6232  2.9951  0.8389 -2.005  1.039  1.307  0.737  1.398  2.211  2.886  3.040  3.158  3.824  3.3900E-02  1.9223E-02  1.1375E-02
 0.8939660  3.6192  3.0466  0.7714 -2.090  1.096  1.340  0.754  1.432  2.268  2.955  3.111  3.232  3.904  3.0300E-02  1.7181E-02  1.0166E-02
 0.8939812  3.6153  3.0980  0.7045 -2.173  1.152  1.372  0.770  1.466  2.326  3.025  3.184  3.307  3.985  3.0300E-02  1.7181E-02  1.0165E-02
 0.8939963  3.6114  3.1495  0.6374 -2.253  1.208  1.405  0.787  1.501  2.388  3.099  3.260  3.385  4.071  3.6900E-02  2.0922E-02  1.2379E-02
 0.8940181  3.6075  3.2013  0.5700 -2.330  1.265  1.439  0.805  1.539  2.453  3.176  3.340  3.468  4.162  4.5700E-02  2.5910E-02  1.5329E-02
 0.8940420  3.6036  3.2531  0.5026 -2.402  1.320  1.474  0.827  1.582  2.522  3.259  3.426  3.557  4.259  4.7800E-02  2.7099E-02  1.6032E-02
 0.8940659  3.5997  3.3050  0.4351 -2.469  1.375  1.511  0.852  1.634  2.597  3.346  3.517  3.651  4.364  2.3900E-02  1.3549E-02  8.0154E-03
 
