#Z=0.001000 Y=0.232000 OS=0.20 l/Hp=1.743201 [Fe/H]=-1.505247 [Alpha/Fe]= 0.30   
#age(Gyr)= 8.000 140 points
#  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
 
 0.9479987  3.7271  1.0994  3.1757  2.220 -0.054  0.645  0.402  0.813  1.366  1.795  1.885  1.972  2.486  8.8300E-01  4.3621E-01  2.3428E-01
 0.9484179  3.7259  1.1375  3.1330  2.126 -0.047  0.650  0.404  0.816  1.373  1.805  1.896  1.983  2.501  8.4010E-01  4.1457E-01  2.2250E-01
 0.9488388  3.7246  1.1756  3.0899  2.033 -0.039  0.656  0.406  0.820  1.381  1.816  1.908  1.995  2.516  8.2380E-01  4.0611E-01  2.1780E-01
 0.9492417  3.7234  1.2139  3.0470  1.939 -0.032  0.662  0.408  0.823  1.389  1.827  1.918  2.006  2.530  7.9440E-01  3.9122E-01  2.0967E-01
 0.9496332  3.7222  1.2521  3.0042  1.846 -0.025  0.667  0.410  0.827  1.396  1.837  1.929  2.017  2.544  7.4810E-01  3.6807E-01  1.9713E-01
 0.9499898  3.7209  1.2903  2.9609  1.753 -0.018  0.672  0.412  0.831  1.404  1.848  1.941  2.029  2.558  6.8420E-01  3.3633E-01  1.8002E-01
 0.9503174  3.7196  1.3284  2.9178  1.661 -0.010  0.677  0.415  0.835  1.412  1.859  1.953  2.040  2.573  6.3550E-01  3.1214E-01  1.6697E-01
 0.9506253  3.7183  1.3664  2.8747  1.569 -0.003  0.682  0.417  0.840  1.421  1.870  1.965  2.052  2.588  5.9890E-01  2.9394E-01  1.5715E-01
 0.9509163  3.7170  1.4046  2.8315  1.476  0.004  0.687  0.420  0.845  1.429  1.882  1.977  2.064  2.602  5.6260E-01  2.7592E-01  1.4745E-01
 0.9511879  3.7157  1.4427  2.7883  1.385  0.011  0.692  0.423  0.851  1.437  1.893  1.989  2.075  2.616  5.1740E-01  2.5359E-01  1.3545E-01
 0.9514337  3.7142  1.4798  2.7453  1.296  0.019  0.697  0.427  0.858  1.447  1.906  2.003  2.088  2.633  4.8030E-01  2.3526E-01  1.2560E-01
 0.9516682  3.7129  1.5179  2.7021  1.205  0.026  0.702  0.431  0.864  1.455  1.918  2.015  2.099  2.647  4.5100E-01  2.2078E-01  1.1782E-01
 0.9518847  3.7114  1.5554  2.6587  1.116  0.034  0.707  0.435  0.872  1.464  1.931  2.029  2.112  2.664  4.1730E-01  2.0417E-01  1.0892E-01
 0.9520855  3.7099  1.5927  2.6155  1.027  0.042  0.712  0.439  0.880  1.474  1.945  2.044  2.125  2.680  5.0270E-01  2.4582E-01  1.3108E-01
 0.9523874  3.7075  1.6553  2.5434  0.879  0.055  0.721  0.446  0.892  1.489  1.966  2.066  2.146  2.706  5.6910E-01  2.7810E-01  1.4823E-01
 0.9526546  3.7048  1.7169  2.4712  0.734  0.070  0.731  0.454  0.906  1.506  1.989  2.091  2.169  2.734  5.0190E-01  2.4510E-01  1.3058E-01
 0.9528893  3.7020  1.7779  2.3991  0.590  0.087  0.742  0.461  0.919  1.523  2.013  2.115  2.192  2.763  4.4280E-01  2.1611E-01  1.1509E-01
 0.9530974  3.6992  1.8390  2.3269  0.445  0.105  0.754  0.468  0.931  1.539  2.035  2.139  2.215  2.791  4.0690E-01  1.9849E-01  1.0567E-01
 0.9532962  3.6964  1.9000  2.2548  0.299  0.126  0.768  0.474  0.942  1.555  2.056  2.161  2.237  2.817  3.9430E-01  1.9225E-01  1.0231E-01
 0.9534917  3.6934  1.9601  2.1827  0.155  0.151  0.784  0.481  0.952  1.570  2.078  2.184  2.261  2.844  3.7120E-01  1.8090E-01  9.6237E-02
 0.9536674  3.6904  2.0201  2.1108  0.011  0.178  0.802  0.487  0.962  1.585  2.098  2.205  2.284  2.869  5.5170E-01  2.6871E-01  1.4290E-01
 0.9540434  3.6877  2.0814  2.0389 -0.137  0.205  0.819  0.492  0.970  1.599  2.116  2.225  2.305  2.892  5.3870E-01  2.6220E-01  1.3937E-01
 0.9542061  3.6845  2.1403  1.9673 -0.277  0.239  0.839  0.498  0.981  1.615  2.138  2.248  2.331  2.919  2.6710E-01  1.2994E-01  6.9044E-02
 0.9543105  3.6812  2.1989  1.8955 -0.416  0.275  0.861  0.505  0.992  1.633  2.162  2.274  2.358  2.949  2.0000E-01  9.7270E-02  5.1674E-02
